device_id,timestamp,hour,latitude,longitude,store_id,store_name,distance_meters
DEV_02533,2026-08-01 06:04:13,6,37.777071,-122.418503,STORE_001,Coffee Craft - 5th Street (Store A),219.0
DEV_01666,2026-08-01 06:04:25,6,37.777506,-122.420578,STORE_001,Coffee Craft - 5th Street (Store A),280.95
DEV_02737,2026-08-01 06:04:34,6,37.777359,-122.415641,STORE_001,Coffee Craft - 5th Street (Store A),276.19
DEV_04693,2026-08-01 06:04:37,6,37.780854,-122.417546,STORE_001,Coffee Craft - 5th Street (Store A),209.98
DEV_01368,2026-08-01 06:04:49,6,37.781437,-122.41168,STORE_002,Coffee Craft - Market Street (Store B - Candidate),60.17
DEV_03426,2026-08-01 06:04:50,6,37.779598,-122.411796,STORE_002,Coffee Craft - Market Street (Store B - Candidate),222.76
DEV_02969,2026-08-01 06:04:52,6,37.777785,-122.414831,STORE_001,Coffee Craft - 5th Street (Store A),309.55
DEV_03462,2026-08-01 06:05:05,6,37.779743,-122.417478,STORE_001,Coffee Craft - 5th Street (Store A),94.5
DEV_03775,2026-08-01 06:05:10,6,37.78208,-122.411406,STORE_002,Coffee Craft - Market Street (Store B - Candidate),73.71
DEV_04838,2026-08-01 06:05:36,6,37.782081,-122.41025,STORE_002,Coffee Craft - Market Street (Store B - Candidate),92.29
DEV_03120,2026-08-01 06:06:13,6,37.781255,-122.419398,STORE_001,Coffee Craft - 5th Street (Store A),279.23
DEV_01835,2026-08-01 06:06:33,6,37.785421,-122.397249,STORE_005,Coffee Craft - SOMA Square,381.03
DEV_00687,2026-08-01 06:06:38,6,37.78091,-122.415736,STORE_001,Coffee Craft - 5th Street (Store A),291.03
DEV_00687,2026-08-01 06:06:38,6,37.78091,-122.415736,STORE_002,Coffee Craft - Market Street (Store B - Candidate),421.36
DEV_03186,2026-08-01 06:06:39,6,37.783351,-122.412044,STORE_002,Coffee Craft - Market Street (Store B - Candidate),225.35
DEV_01835,2026-08-01 06:06:43,6,37.783321,-122.408083,STORE_002,Coffee Craft - Market Street (Store B - Candidate),326.68
DEV_04501,2026-08-01 06:07:09,6,37.779352,-122.413519,STORE_001,Coffee Craft - 5th Street (Store A),395.76
DEV_04501,2026-08-01 06:07:09,6,37.779352,-122.413519,STORE_002,Coffee Craft - Market Street (Store B - Candidate),325.66
DEV_01597,2026-08-01 06:07:13,6,37.780437,-122.419981,STORE_001,Coffee Craft - 5th Street (Store A),236.31
DEV_01083,2026-08-01 06:07:15,6,37.781631,-122.413373,STORE_002,Coffee Craft - Market Street (Store B - Candidate),209.05
DEV_00138,2026-08-01 06:07:37,6,37.779129,-122.412054,STORE_002,Coffee Craft - Market Street (Store B - Candidate),279.44
DEV_04589,2026-08-01 06:07:40,6,37.779038,-122.417843,STORE_001,Coffee Craft - 5th Street (Store A),14.43
DEV_01104,2026-08-01 06:07:44,6,37.776714,-122.419172,STORE_001,Coffee Craft - 5th Street (Store A),274.27
DEV_02526,2026-08-01 06:08:08,6,37.779075,-122.408402,STORE_002,Coffee Craft - Market Street (Store B - Candidate),353.33
DEV_03869,2026-08-01 06:08:18,6,37.783853,-122.412049,STORE_002,Coffee Craft - Market Street (Store B - Candidate),277.41
DEV_04766,2026-08-01 06:08:28,6,37.777108,-122.41817,STORE_001,Coffee Craft - 5th Street (Store A),210.91
DEV_00317,2026-08-01 06:08:31,6,37.779784,-122.413379,STORE_001,Coffee Craft - 5th Street (Store A),415.37
DEV_00317,2026-08-01 06:08:31,6,37.779784,-122.413379,STORE_002,Coffee Craft - Market Street (Store B - Candidate),283.06
DEV_04399,2026-08-01 06:08:42,6,37.781843,-122.418489,STORE_001,Coffee Craft - 5th Street (Store A),319.03
DEV_02515,2026-08-01 06:09:13,6,37.782957,-122.411529,STORE_002,Coffee Craft - Market Street (Store B - Candidate),168.55
DEV_00589,2026-08-01 06:09:21,6,37.776788,-122.416718,STORE_001,Coffee Craft - 5th Street (Store A),270.54
DEV_04955,2026-08-01 06:09:31,6,37.776773,-122.416854,STORE_001,Coffee Craft - 5th Street (Store A),267.33
DEV_02399,2026-08-01 06:09:43,6,37.778606,-122.419739,STORE_001,Coffee Craft - 5th Street (Store A),158.99
DEV_04945,2026-08-01 06:09:54,6,37.780407,-122.417404,STORE_001,Coffee Craft - 5th Street (Store A),164.99
DEV_02868,2026-08-01 06:09:54,6,37.780635,-122.417837,STORE_001,Coffee Craft - 5th Street (Store A),182.37
DEV_02747,2026-08-01 06:09:58,6,37.779373,-122.409258,STORE_002,Coffee Craft - Market Street (Store B - Candidate),281.74
DEV_03031,2026-08-01 06:10:06,6,37.779391,-122.409144,STORE_002,Coffee Craft - Market Street (Store B - Candidate),285.66
DEV_03931,2026-08-01 06:10:07,6,37.790944,-122.404327,STORE_003,Coffee Craft - Financial District,292.42
DEV_04507,2026-08-01 06:10:08,6,37.778724,-122.417506,STORE_001,Coffee Craft - 5th Street (Store A),53.17
DEV_01153,2026-08-01 06:10:12,6,37.780206,-122.419534,STORE_001,Coffee Craft - 5th Street (Store A),190.15
DEV_01911,2026-08-01 06:10:18,6,37.781163,-122.418585,STORE_001,Coffee Craft - 5th Street (Store A),245.95
DEV_04116,2026-08-01 06:10:26,6,37.781631,-122.408526,STORE_002,Coffee Craft - Market Street (Store B - Candidate),217.91
DEV_03798,2026-08-01 06:10:27,6,37.783976,-122.412352,STORE_002,Coffee Craft - Market Street (Store B - Candidate),299.86
DEV_04737,2026-08-01 06:10:40,6,37.779743,-122.415767,STORE_001,Coffee Craft - 5th Street (Store A),212.93
DEV_04737,2026-08-01 06:10:40,6,37.779743,-122.415767,STORE_002,Coffee Craft - Market Street (Store B - Candidate),462.26
DEV_03880,2026-08-01 06:10:41,6,37.783016,-122.409832,STORE_002,Coffee Craft - Market Street (Store B - Candidate),197.36
DEV_00009,2026-08-01 06:10:58,6,37.779876,-122.412285,STORE_002,Coffee Craft - Market Street (Store B - Candidate),212.99
DEV_00511,2026-08-01 06:11:09,6,37.783785,-122.408559,STORE_002,Coffee Craft - Market Street (Store B - Candidate),332.53
DEV_03759,2026-08-01 06:11:17,6,37.780253,-122.417201,STORE_001,Coffee Craft - 5th Street (Store A),156.02
DEV_03894,2026-08-01 06:11:24,6,37.782881,-122.411384,STORE_002,Coffee Craft - Market Street (Store B - Candidate),157.22
DEV_02538,2026-08-01 06:11:49,6,37.781941,-122.409541,STORE_002,Coffee Craft - Market Street (Store B - Candidate),137.28
DEV_01239,2026-08-01 06:11:51,6,37.777511,-122.415393,STORE_001,Coffee Craft - 5th Street (Store A),282.68
DEV_02998,2026-08-01 06:11:53,6,37.779481,-122.408122,STORE_002,Coffee Craft - Market Street (Store B - Candidate),338.19
DEV_03794,2026-08-01 06:12:07,6,37.776969,-122.41593,STORE_001,Coffee Craft - 5th Street (Store A),290.0
DEV_04636,2026-08-01 06:12:15,6,37.782129,-122.413365,STORE_002,Coffee Craft - Market Street (Store B - Candidate),219.3
DEV_04413,2026-08-01 06:12:16,6,37.780219,-122.408602,STORE_002,Coffee Craft - Market Street (Store B - Candidate),254.37
DEV_02479,2026-08-01 06:12:20,6,37.779891,-122.416007,STORE_001,Coffee Craft - 5th Street (Store A),201.23
DEV_02479,2026-08-01 06:12:20,6,37.779891,-122.416007,STORE_002,Coffee Craft - Market Street (Store B - Candidate),475.02
DEV_03164,2026-08-01 06:12:22,6,37.781604,-122.410239,STORE_002,Coffee Craft - Market Street (Store B - Candidate),67.87
DEV_03168,2026-08-01 06:12:31,6,37.783374,-122.410992,STORE_002,Coffee Craft - Market Street (Store B - Candidate),208.38
DEV_00811,2026-08-01 06:12:35,6,37.782352,-122.408717,STORE_002,Coffee Craft - Market Street (Store B - Candidate),221.88
DEV_00996,2026-08-01 06:12:49,6,37.776109,-122.417268,STORE_001,Coffee Craft - 5th Street (Store A),327.84
DEV_00666,2026-08-01 06:12:54,6,37.782427,-122.414832,STORE_001,Coffee Craft - 5th Street (Store A),471.94
DEV_00666,2026-08-01 06:12:54,6,37.782427,-122.414832,STORE_002,Coffee Craft - Market Street (Store B - Candidate),352.19
DEV_04899,2026-08-01 06:13:00,6,37.781109,-122.410258,STORE_002,Coffee Craft - Market Street (Store B - Candidate),78.37
DEV_04423,2026-08-01 06:13:10,6,37.783633,-122.412499,STORE_002,Coffee Craft - Market Street (Store B - Candidate),271.31
DEV_03095,2026-08-01 06:13:11,6,37.778851,-122.410095,STORE_002,Coffee Craft - Market Street (Store B - Candidate),305.1
DEV_00533,2026-08-01 06:13:11,6,37.779017,-122.409229,STORE_002,Coffee Craft - Market Street (Store B - Candidate),316.95
DEV_04394,2026-08-01 06:13:13,6,37.778892,-122.410665,STORE_002,Coffee Craft - Market Street (Store B - Candidate),291.49
DEV_02773,2026-08-01 06:13:16,6,37.783842,-122.412014,STORE_002,Coffee Craft - Market Street (Store B - Candidate),275.24
DEV_02698,2026-08-01 06:13:19,6,37.781404,-122.419999,STORE_001,Coffee Craft - 5th Street (Store A),319.88
DEV_02680,2026-08-01 06:13:21,6,37.779525,-122.417736,STORE_001,Coffee Craft - 5th Street (Store A),62.82
DEV_02307,2026-08-01 06:13:38,6,37.7817,-122.416814,STORE_001,Coffee Craft - 5th Street (Store A),317.8
DEV_04007,2026-08-01 06:13:40,6,37.779698,-122.417634,STORE_001,Coffee Craft - 5th Street (Store A),84.02
DEV_02354,2026-08-01 06:13:43,6,37.779291,-122.412349,STORE_001,Coffee Craft - 5th Street (Store A),497.7
DEV_02354,2026-08-01 06:13:43,6,37.779291,-122.412349,STORE_002,Coffee Craft - Market Street (Store B - Candidate),272.74
DEV_00353,2026-08-01 06:13:47,6,37.786197,-122.396974,STORE_005,Coffee Craft - SOMA Square,466.69
DEV_03793,2026-08-01 06:13:54,6,37.778949,-122.410302,STORE_002,Coffee Craft - Market Street (Store B - Candidate),290.22
DEV_01632,2026-08-01 06:13:54,6,37.782397,-122.41265,STORE_002,Coffee Craft - Market Street (Store B - Candidate),176.0
DEV_00950,2026-08-01 06:14:02,6,37.779218,-122.418631,STORE_001,Coffee Craft - 5th Street (Store A),60.52
DEV_01438,2026-08-01 06:14:09,6,37.781307,-122.418409,STORE_001,Coffee Craft - 5th Street (Store A),259.03
DEV_04310,2026-08-01 06:14:13,6,37.781642,-122.418037,STORE_001,Coffee Craft - 5th Street (Store A),293.79
DEV_03383,2026-08-01 06:14:29,6,37.781861,-122.409328,STORE_002,Coffee Craft - Market Street (Store B - Candidate),152.32
DEV_02097,2026-08-01 06:14:38,6,37.780106,-122.420219,STORE_001,Coffee Craft - 5th Street (Store A),230.56
DEV_03338,2026-08-01 06:14:47,6,37.776332,-122.420191,STORE_001,Coffee Craft - 5th Street (Store A),353.68
DEV_03689,2026-08-01 06:14:53,6,37.778545,-122.417438,STORE_001,Coffee Craft - 5th Street (Store A),70.71
DEV_00062,2026-08-01 06:15:05,6,37.776168,-122.420485,STORE_001,Coffee Craft - 5th Street (Store A),383.23
DEV_01043,2026-08-01 06:15:20,6,37.77939,-122.418485,STORE_001,Coffee Craft - 5th Street (Store A),60.81
DEV_00723,2026-08-01 06:15:23,6,37.780494,-122.416327,STORE_001,Coffee Craft - 5th Street (Store A),221.85
DEV_00723,2026-08-01 06:15:23,6,37.780494,-122.416327,STORE_002,Coffee Craft - Market Street (Store B - Candidate),481.34
DEV_04670,2026-08-01 06:15:26,6,37.778204,-122.416868,STORE_001,Coffee Craft - 5th Street (Store A),133.16
DEV_00945,2026-08-01 06:15:27,6,37.778629,-122.410893,STORE_002,Coffee Craft - Market Street (Store B - Candidate),319.38
DEV_00411,2026-08-01 06:15:27,6,37.784106,-122.413241,STORE_002,Coffee Craft - Market Street (Store B - Candidate),350.36
DEV_01532,2026-08-01 06:15:35,6,37.781927,-122.413932,STORE_001,Coffee Craft - 5th Street (Store A),483.47
DEV_01532,2026-08-01 06:15:35,6,37.781927,-122.413932,STORE_002,Coffee Craft - Market Street (Store B - Candidate),262.01
DEV_04410,2026-08-01 06:15:44,6,37.780917,-122.41394,STORE_001,Coffee Craft - 5th Street (Store A),415.64
DEV_04410,2026-08-01 06:15:44,6,37.780917,-122.41394,STORE_002,Coffee Craft - Market Street (Store B - Candidate),266.39
DEV_02185,2026-08-01 06:15:57,6,37.776188,-122.416722,STORE_001,Coffee Craft - 5th Street (Store A),332.24
DEV_04368,2026-08-01 06:16:22,6,37.780965,-122.420437,STORE_001,Coffee Craft - 5th Street (Store A),305.96
DEV_01749,2026-08-01 06:17:01,6,37.781008,-122.408357,STORE_002,Coffee Craft - Market Street (Store B - Candidate),238.63
DEV_02425,2026-08-01 06:17:13,6,37.782785,-122.410287,STORE_002,Coffee Craft - Market Street (Store B - Candidate),156.02
DEV_00376,2026-08-01 06:17:20,6,37.783332,-122.408093,STORE_002,Coffee Craft - Market Street (Store B - Candidate),326.75
DEV_01527,2026-08-01 06:17:36,6,37.777336,-122.418753,STORE_001,Coffee Craft - 5th Street (Store A),196.51
DEV_02673,2026-08-01 06:17:58,6,37.779764,-122.416561,STORE_001,Coffee Craft - 5th Street (Store A),152.35
DEV_00628,2026-08-01 06:18:01,6,37.781797,-122.410322,STORE_002,Coffee Craft - Market Street (Store B - Candidate),68.12
DEV_02993,2026-08-01 06:18:15,6,37.783244,-122.411971,STORE_002,Coffee Craft - Market Street (Store B - Candidate),211.87
DEV_04320,2026-08-01 06:18:21,6,37.780979,-122.416959,STORE_001,Coffee Craft - 5th Street (Store A),238.32
DEV_01075,2026-08-01 06:18:40,6,37.779425,-122.416331,STORE_001,Coffee Craft - 5th Street (Store A),154.11
DEV_00043,2026-08-01 06:18:52,6,37.779087,-122.420687,STORE_001,Coffee Craft - 5th Street (Store A),236.35
DEV_00264,2026-08-01 06:19:00,6,37.780147,-122.409877,STORE_002,Coffee Craft - Market Street (Store B - Candidate),179.93
DEV_02511,2026-08-01 06:19:00,6,37.777124,-122.415952,STORE_001,Coffee Craft - 5th Street (Store A),275.52
DEV_03226,2026-08-01 06:19:16,6,37.777439,-122.419038,STORE_001,Coffee Craft - 5th Street (Store A),196.09
DEV_04304,2026-08-01 06:19:36,6,37.781447,-122.416111,STORE_001,Coffee Craft - 5th Street (Store A),318.74
DEV_04304,2026-08-01 06:19:36,6,37.781447,-122.416111,STORE_002,Coffee Craft - Market Street (Store B - Candidate),449.21
DEV_03747,2026-08-01 06:19:39,6,37.776673,-122.419893,STORE_001,Coffee Craft - 5th Street (Store A),307.62
DEV_03518,2026-08-01 06:19:43,6,37.779642,-122.417922,STORE_001,Coffee Craft - 5th Street (Store A),71.72
DEV_03362,2026-08-01 06:20:25,6,37.782874,-122.413564,STORE_002,Coffee Craft - Market Street (Store B - Candidate),272.24
DEV_02866,2026-08-01 06:20:30,6,37.776983,-122.416498,STORE_001,Coffee Craft - 5th Street (Store A),260.24
DEV_01619,2026-08-01 06:21:07,6,37.781436,-122.410507,STORE_002,Coffee Craft - Market Street (Store B - Candidate),43.91
DEV_02489,2026-08-01 06:21:20,6,37.78002,-122.409137,STORE_002,Coffee Craft - Market Street (Store B - Candidate),232.14
DEV_00917,2026-08-01 06:21:31,6,37.777507,-122.416643,STORE_001,Coffee Craft - 5th Street (Store A),204.41
DEV_03462,2026-08-01 06:21:35,6,37.778169,-122.415182,STORE_001,Coffee Craft - 5th Street (Store A),264.34
DEV_01589,2026-08-01 06:21:38,6,37.780197,-122.409796,STORE_002,Coffee Craft - Market Street (Store B - Candidate),179.41
DEV_04413,2026-08-01 06:21:47,6,37.781981,-122.409408,STORE_002,Coffee Craft - Market Street (Store B - Candidate),149.78
DEV_02082,2026-08-01 06:21:53,6,37.777598,-122.416901,STORE_001,Coffee Craft - 5th Street (Store A),183.39
DEV_03037,2026-08-01 06:21:57,6,37.778558,-122.412506,STORE_001,Coffee Craft - 5th Street (Store A),485.34
DEV_03037,2026-08-01 06:21:57,6,37.778558,-122.412506,STORE_002,Coffee Craft - Market Street (Store B - Candidate),352.9
DEV_00946,2026-08-01 06:21:58,6,37.783881,-122.41132,STORE_002,Coffee Craft - Market Street (Store B - Candidate),266.24
DEV_01681,2026-08-01 06:22:03,6,37.778317,-122.419225,STORE_001,Coffee Craft - 5th Street (Store A),131.75
DEV_01310,2026-08-01 06:22:13,6,37.780208,-122.413061,STORE_001,Coffee Craft - 5th Street (Store A),454.37
DEV_01310,2026-08-01 06:22:13,6,37.780208,-122.413061,STORE_002,Coffee Craft - Market Street (Store B - Candidate),231.19
DEV_00263,2026-08-01 06:22:53,6,37.781476,-122.413748,STORE_001,Coffee Craft - 5th Street (Store A),464.16
DEV_00263,2026-08-01 06:22:53,6,37.781476,-122.413748,STORE_002,Coffee Craft - Market Street (Store B - Candidate),241.52
DEV_01677,2026-08-01 06:23:03,6,37.776933,-122.419155,STORE_001,Coffee Craft - 5th Street (Store A),251.26
DEV_01314,2026-08-01 06:23:05,6,37.782052,-122.408152,STORE_002,Coffee Craft - Market Street (Store B - Candidate),257.71
DEV_00359,2026-08-01 06:23:50,6,37.78153,-122.411074,STORE_002,Coffee Craft - Market Street (Store B - Candidate),7.31
DEV_04558,2026-08-01 06:23:59,6,37.777225,-122.419226,STORE_001,Coffee Craft - 5th Street (Store A),224.87
DEV_00798,2026-08-01 06:23:59,6,37.777124,-122.416637,STORE_001,Coffee Craft - 5th Street (Store A),240.55
DEV_00684,2026-08-01 06:24:09,6,37.782033,-122.410384,STORE_002,Coffee Craft - Market Street (Store B - Candidate),80.27
DEV_00304,2026-08-01 06:24:10,6,37.776033,-122.419888,STORE_001,Coffee Craft - 5th Street (Store A),369.29
DEV_02126,2026-08-01 06:24:20,6,37.783376,-122.411067,STORE_002,Coffee Craft - Market Street (Store B - Candidate),208.68
DEV_03244,2026-08-01 06:24:21,6,37.781191,-122.410783,STORE_002,Coffee Craft - Market Street (Store B - Candidate),39.3
DEV_04030,2026-08-01 06:24:46,6,37.77975,-122.411535,STORE_002,Coffee Craft - Market Street (Store B - Candidate),200.19
DEV_03737,2026-08-01 06:25:15,6,37.779297,-122.420406,STORE_001,Coffee Craft - 5th Street (Store A),214.02
DEV_02238,2026-08-01 06:25:17,6,37.776778,-122.416047,STORE_001,Coffee Craft - 5th Street (Store A),300.85
DEV_00343,2026-08-01 06:25:19,6,37.783533,-122.413451,STORE_002,Coffee Craft - Market Street (Store B - Candidate),312.25
DEV_02576,2026-08-01 06:25:26,6,37.780087,-122.415219,STORE_001,Coffee Craft - 5th Street (Store A),272.66
DEV_02576,2026-08-01 06:25:26,6,37.780087,-122.415219,STORE_002,Coffee Craft - Market Street (Store B - Candidate),402.7
DEV_04912,2026-08-01 06:25:28,6,37.779723,-122.412791,STORE_001,Coffee Craft - 5th Street (Store A),464.8
DEV_04912,2026-08-01 06:25:28,6,37.779723,-122.412791,STORE_002,Coffee Craft - Market Street (Store B - Candidate),252.62
DEV_02772,2026-08-01 06:25:47,6,37.780202,-122.419343,STORE_001,Coffee Craft - 5th Street (Store A),178.31
DEV_00022,2026-08-01 06:26:03,6,37.77609,-122.419791,STORE_001,Coffee Craft - 5th Street (Store A),359.83
DEV_02174,2026-08-01 06:26:09,6,37.777469,-122.417333,STORE_001,Coffee Craft - 5th Street (Store A),180.05
DEV_00309,2026-08-01 06:26:36,6,37.779653,-122.408991,STORE_002,Coffee Craft - Market Street (Store B - Candidate),270.84
DEV_03036,2026-08-01 06:26:45,6,37.780111,-122.41788,STORE_001,Coffee Craft - 5th Street (Store A),123.99
DEV_02041,2026-08-01 06:26:52,6,37.779048,-122.410543,STORE_002,Coffee Craft - Market Street (Store B - Candidate),275.59
DEV_00599,2026-08-01 06:26:59,6,37.777196,-122.420241,STORE_001,Coffee Craft - 5th Street (Store A),281.12
DEV_01780,2026-08-01 06:27:03,6,37.779034,-122.415564,STORE_001,Coffee Craft - 5th Street (Store A),214.12
DEV_01780,2026-08-01 06:27:03,6,37.779034,-122.415564,STORE_002,Coffee Craft - Market Street (Store B - Candidate),485.88
DEV_03801,2026-08-01 06:27:22,6,37.780103,-122.411491,STORE_002,Coffee Craft - Market Street (Store B - Candidate),161.22
DEV_02180,2026-08-01 06:27:30,6,37.779843,-122.409896,STORE_002,Coffee Craft - Market Street (Store B - Candidate),208.23
DEV_03405,2026-08-01 06:27:38,6,37.778985,-122.411952,STORE_002,Coffee Craft - Market Street (Store B - Candidate),291.9
DEV_02953,2026-08-01 06:27:40,6,37.777674,-122.41843,STORE_001,Coffee Craft - 5th Street (Store A),152.21
DEV_03583,2026-08-01 06:27:47,6,37.779837,-122.415123,STORE_001,Coffee Craft - 5th Street (Store A),269.43
DEV_03583,2026-08-01 06:27:47,6,37.779837,-122.415123,STORE_002,Coffee Craft - Market Street (Store B - Candidate),406.8
DEV_03526,2026-08-01 06:28:06,6,37.776165,-122.415971,STORE_001,Coffee Craft - 5th Street (Store A),362.18
DEV_01549,2026-08-01 06:28:12,6,37.783035,-122.409223,STORE_002,Coffee Craft - Market Street (Store B - Candidate),231.35
DEV_04720,2026-08-01 06:28:26,6,37.781687,-122.415187,STORE_001,Coffee Craft - 5th Street (Store A),387.8
DEV_04720,2026-08-01 06:28:26,6,37.781687,-122.415187,STORE_002,Coffee Craft - Market Street (Store B - Candidate),368.55
DEV_01145,2026-08-01 06:28:32,6,37.781431,-122.420348,STORE_001,Coffee Craft - 5th Street (Store A),340.08
DEV_03485,2026-08-01 06:28:36,6,37.782556,-122.411623,STORE_002,Coffee Craft - Market Street (Store B - Candidate),129.56
DEV_00487,2026-08-01 06:29:11,6,37.781832,-122.416156,STORE_001,Coffee Craft - 5th Street (Store A),354.16
DEV_00487,2026-08-01 06:29:11,6,37.781832,-122.416156,STORE_002,Coffee Craft - Market Street (Store B - Candidate),454.63
DEV_00191,2026-08-01 06:29:31,6,37.781349,-122.420286,STORE_001,Coffee Craft - 5th Street (Store A),329.52
DEV_01335,2026-08-01 06:29:38,6,37.779636,-122.416806,STORE_001,Coffee Craft - 5th Street (Store A),126.54
DEV_04078,2026-08-01 06:30:08,6,37.778511,-122.415823,STORE_001,Coffee Craft - 5th Street (Store A),198.91
DEV_03374,2026-08-01 06:30:17,6,37.779901,-122.41177,STORE_002,Coffee Craft - Market Street (Store B - Candidate),190.24
DEV_04235,2026-08-01 06:30:20,6,37.77808,-122.416997,STORE_001,Coffee Craft - 5th Street (Store A),135.04
DEV_00445,2026-08-01 06:30:36,6,37.783115,-122.411759,STORE_002,Coffee Craft - Market Street (Store B - Candidate),191.57
DEV_01086,2026-08-01 06:30:48,6,37.781841,-122.418105,STORE_001,Coffee Craft - 5th Street (Store A),316.04
DEV_01805,2026-08-01 06:31:40,6,37.77699,-122.418398,STORE_001,Coffee Craft - 5th Street (Store A),226.22
DEV_02601,2026-08-01 06:31:40,6,37.780314,-122.412768,STORE_001,Coffee Craft - 5th Street (Store A),482.47
DEV_02601,2026-08-01 06:31:40,6,37.780314,-122.412768,STORE_002,Coffee Craft - Market Street (Store B - Candidate),203.8
DEV_02901,2026-08-01 06:31:47,6,37.780729,-122.409031,STORE_002,Coffee Craft - Market Street (Store B - Candidate),193.12
DEV_04168,2026-08-01 06:32:08,6,37.783496,-122.409263,STORE_002,Coffee Craft - Market Street (Store B - Candidate),269.37
DEV_01707,2026-08-01 06:32:29,6,37.77789,-122.418538,STORE_001,Coffee Craft - 5th Street (Store A),132.17
DEV_01540,2026-08-01 06:32:41,6,37.780008,-122.416654,STORE_001,Coffee Craft - 5th Street (Store A),162.96
DEV_01983,2026-08-01 06:33:01,6,37.757248,-122.417664,STORE_004,Coffee Craft - Mission Hub,327.77
DEV_01089,2026-08-01 06:33:18,6,37.781005,-122.418211,STORE_001,Coffee Craft - 5th Street (Store A),223.72
DEV_04610,2026-08-01 06:33:24,6,37.780873,-122.419926,STORE_001,Coffee Craft - 5th Street (Store A),268.38
DEV_01564,2026-08-01 06:33:31,6,37.784041,-122.41328,STORE_002,Coffee Craft - Market Street (Store B - Candidate),346.38
DEV_02477,2026-08-01 06:33:54,6,37.776905,-122.415909,STORE_001,Coffee Craft - 5th Street (Store A),296.71
DEV_04984,2026-08-01 06:34:05,6,37.782124,-122.410915,STORE_002,Coffee Craft - Market Street (Store B - Candidate),69.79
DEV_03043,2026-08-01 06:34:05,6,37.778289,-122.416531,STORE_001,Coffee Craft - 5th Street (Store A),151.39
DEV_00189,2026-08-01 06:34:06,6,37.779993,-122.416354,STORE_001,Coffee Craft - 5th Street (Store A),181.98
DEV_00189,2026-08-01 06:34:06,6,37.779993,-122.416354,STORE_002,Coffee Craft - Market Street (Store B - Candidate),499.48
DEV_03840,2026-08-01 06:34:19,6,37.779643,-122.413034,STORE_001,Coffee Craft - 5th Street (Store A),442.26
DEV_03840,2026-08-01 06:34:19,6,37.779643,-122.413034,STORE_002,Coffee Craft - Market Street (Store B - Candidate),273.11
DEV_00084,2026-08-01 06:34:41,6,37.776613,-122.420233,STORE_001,Coffee Craft - 5th Street (Store A),330.1
DEV_00925,2026-08-01 06:34:43,6,37.783403,-122.413638,STORE_002,Coffee Craft - Market Street (Store B - Candidate),313.88
DEV_02489,2026-08-01 06:34:54,6,37.778873,-122.416321,STORE_001,Coffee Craft - 5th Street (Store A),148.24
DEV_02059,2026-08-01 06:34:56,6,37.779658,-122.413168,STORE_001,Coffee Craft - 5th Street (Store A),430.92
DEV_02059,2026-08-01 06:34:56,6,37.779658,-122.413168,STORE_002,Coffee Craft - Market Street (Store B - Candidate),279.74
DEV_03077,2026-08-01 06:35:00,6,37.7814,-122.416337,STORE_001,Coffee Craft - 5th Street (Store A),304.27
DEV_03077,2026-08-01 06:35:00,6,37.7814,-122.416337,STORE_002,Coffee Craft - Market Street (Store B - Candidate),469.16
